strategy,eps,total_images,nn2_clean_correct_images,nn2_clean_accuracy_all,robust_accuracy_clean_correct,targeted_asr_clean_correct,untargeted_asr_clean_correct,targeted_successes,untargeted_successes,resisted
least-likely,0.025,915,888,0.9704918032786886,0.5619369369369369,0.0,0.4380630630630631,0,389,499
least-likely,0.05,915,888,0.9704918032786886,0.2376126126126126,0.0045045045045045045,0.7578828828828829,4,673,211
least-likely,0.075,915,888,0.9704918032786886,0.10247747747747747,0.01463963963963964,0.8828828828828829,13,784,91
least-likely,0.1,915,888,0.9704918032786886,0.060810810810810814,0.024774774774774775,0.9144144144144144,22,812,54
least-likely,0.15,915,888,0.9704918032786886,0.02364864864864865,0.04391891891891892,0.9324324324324325,39,828,21
least-likely,0.2,915,888,0.9704918032786886,0.0033783783783783786,0.05292792792792793,0.9436936936936937,47,838,3
next_best,0.025,915,888,0.9704918032786886,0.6655405405405406,0.3119369369369369,0.02252252252252252,277,20,591
next_best,0.05,915,888,0.9704918032786886,0.42567567567567566,0.5472972972972973,0.02702702702702703,486,24,378
next_best,0.075,915,888,0.9704918032786886,0.2545045045045045,0.7027027027027027,0.04279279279279279,624,38,226
next_best,0.1,915,888,0.9704918032786886,0.18018018018018017,0.7646396396396397,0.05518018018018018,679,49,160
next_best,0.15,915,888,0.9704918032786886,0.10022522522522523,0.7995495495495496,0.10022522522522523,710,89,89
next_best,0.2,915,888,0.9704918032786886,0.06756756756756757,0.7713963963963963,0.16103603603603603,685,143,60
random,0.025,915,888,0.9704918032786886,0.7567567567567568,0.009009009009009009,0.23423423423423423,8,208,672
random,0.05,915,888,0.9704918032786886,0.4797297297297297,0.06306306306306306,0.4572072072072072,56,406,426
random,0.075,915,888,0.9704918032786886,0.32432432432432434,0.11936936936936937,0.5563063063063063,106,494,288
random,0.1,915,888,0.9704918032786886,0.20382882882882883,0.14301801801801803,0.6531531531531531,127,580,181
random,0.15,915,888,0.9704918032786886,0.10247747747747747,0.2195945945945946,0.6779279279279279,195,602,91
random,0.2,915,888,0.9704918032786886,0.04842342342342342,0.2286036036036036,0.722972972972973,203,642,43
